aiddata_id	donor	sector	title	short_description	long_description	aiddata_activity_code	codeRule_characterLength
635597	African Development Bank (AFDB)		Extension to Owen-Falls Generating Station		The Owen Falls' Generating Station Extension Project aims at constructing a new power station on the right bank of the Nile some 800 m below the existing dam. The station will be fed by a newly constructed power canal leading from the head pond above the existing dam to the new station. The power house has three fixed blade propeller turbines, each rated at 34 MW, with the intake structure, gates and trashrack being built as an integral part of the powerhouse. Other aspects of the project are the construction of a spillway,a double circuit 132 kv transmission line and switchyard, and engineering and supervision services. The project is co-financed with the Islamic Development Bank (UA 14.86 million), the Swedish International Technical and Economic Co-operation Agency (UA6.36 million), Norway(UA 15.63 million), the IDA (UA 86.01 million), the SlDA (UA2.94-million) and the ADF. The ADB loan will be used to finance 6.4 per cent of the foreign exchange cost of the project.	23030.02|23040.03|23040.02 	1029
2407562	African Development Bank (AFDB)		Program to Support Development of the Information Infrastructure Sector		Ensure greater accessibility to the sector's services by reducing communication costs for users and enhancing availability of services. This objective will be based on further liberalization of the telecommunications sector and greater private sector participation. The program is financed by the ADB and the World Bank(79.32).	22020.01 	401
4276707	African Development Bank (AFDB)		Humanitarian Assistance to Support Government’s Efforts to Prevent Avian Influenza	<br>	"<b><font face=""FrutigerLTStd-BoldCn"" size=""2""><font face=""FrutigerLTStd-BoldCn"" size=""2"">  </font></font></b><p align=""left""><b><font face=""FrutigerLTStd-BoldCn"" size=""2""><font face=""FrutigerLTStd-BoldCn"" size=""2"">Objective: </font></font></b><font face=""FrutigerLTStd-BoldCn"" size=""2""><font face=""FrutigerLTStd-BoldCn"" size=""2""></font></font><font face=""FrutigerLTStd-LightCn"" size=""2""><font face=""FrutigerLTStd-LightCn"" size=""2"">To support the Government’s effort to prevent Avian Influenza and avoid a possible human pandemic.</font></font></p><font face=""FrutigerLTStd-LightCn"" size=""2""><font face=""FrutigerLTStd-LightCn"" size=""2""></font></font><b><font face=""FrutigerLTStd-BoldCn"" size=""2""><font face=""FrutigerLTStd-BoldCn"" size=""2"">  </font></font></b><p align=""left""><b><font face=""FrutigerLTStd-BoldCn"" size=""2""><font face=""FrutigerLTStd-BoldCn"" size=""2"">Expected Outcomes: </font></font></b></p>  <p align=""left""><b><font face=""FrutigerLTStd-BoldCn"" size=""2""><font face=""FrutigerLTStd-BoldCn"" size=""2""></font></font></b><font face=""FrutigerLTStd-BoldCn"" size=""2""><font face=""FrutigerLTStd-BoldCn"" size=""2""></font></font><font face=""FrutigerLTStd-LightCn"" size=""2""><font face=""FrutigerLTStd-LightCn"" size=""2"">(i) Strengthened national capacity to maintain functional laboratories; </font></font></p>  <p align=""left""><font face=""FrutigerLTStd-LightCn"" size=""2""><font face=""FrutigerLTStd-LightCn"" size=""2"">(ii) purchase of vaccines and protective clothing; </font></font></p>  <p align=""left""><font face=""FrutigerLTStd-LightCn"" size=""2""><font face=""FrutigerLTStd-LightCn"" size=""2"">(iii) purchase of supplies to screen poultry; </font></font></p>  <p align=""left""><font face=""FrutigerLTStd-LightCn"" size=""2""><font face=""FrutigerLTStd-LightCn"" size=""2"">(iv) awareness and sensitization campaigns rolled out; and </font></font></p>  <p><font face=""FrutigerLTStd-LightCn"" size=""2""><font face=""FrutigerLTStd-LightCn"" size=""2"">(v) training given to farmers.</font></font></p><font face=""FrutigerLTStd-LightCn"" size=""2""><font face=""FrutigerLTStd-LightCn"" size=""2""></font></font><br>"	72020.01|72010.01 	2309
1964537	African Development Bank (AFDB)		Zambezi Valley Rural Development		The project aims at increasing agricultural production (mainly cotton and food crops) and at improving the standard and quality of life in the southern part of the Zambezi Valley in Mozambique. It involves the resettlement of 12,500 families into 50 villages to be constructed over a period of five years. The project was co-financed with the ADF and the ADB loan will be used to finance 50.0 percent of the foreign exchange cost and 19.0 per cent of the local cost.	16030.02|31120.03 	501
635692	African Development Bank (AFDB)		Rehabilitation of the GAFSA phosphates company (CPG)		The project aims at assisting CPG to restore its long term viability through a combination of measures, i.e. financial restructuring, closure of uneconomical mines, elimination of overstaffing, rehabilitation, replacement and expansion of the mining equipment and processing facilities. The ADB loan will be used to finance the total foreign exchange cost of the project.	32220.11|32210.01|32220.08 	426
2410579	African Development Bank (AFDB)		Study of the Extension of Manzini-Mahamba Road		The studies will comprise the preparation of the final engineering design for the Usutu River-Hlatikulu section of the Manzini-Mahamba road (43 km) and the Nhlangano-Mhiosheni section of main road MR 11 (24 km). The present studies supplement another being financed by the Bank on grant basis with USAlD funds.	21020.01|21020.02 	359
40831852	African Development Bank (AFDB)		Banque de Kigali (BK)	<br>	"<span style=""font-weight: bold;"">Objective: </span><br>To strengthen BK’s balance sheet by making available Tier 2 capital for onlending to BK’s clients. <br><span style=""font-weight: bold;"">Expected Outcomes: </span><br>(i) Facility to be fully disbursed to at least 20 qualifying subprojects in the manufacturing, agriculture and rural development, infrastructure, tourism, and SME subsectors, within two years of drawdown; (ii) additional funding of US$ 20 million is leveraged off BK capital base for subprojects in Rwanda by 2017; (iii) additional funding of US$ 10 million is catalyzed for subprojects in Rwanda under cofinancing arrangements by 2017; and (iv) 10 new branches opened by BK.<br>"	24030.03|43040.01|32105.01|31191.03 	738
55	African Development Bank (AFDB)		Luanda Stormwater Drainage Systems and Studies on Drinking Water Supply and Sanitation		The objectives of the project are to resolve the serious problems caused by stormwater in the districts of Cazenga-Cariango and Bairro Prenda, to help with the preparation of viable drinking water supply and sanitation projects in the 5 centres of Malanje, Carito, N'dalatando, Dondo and Sumbe and in rural areas in the 4 provinces of Bengo, Malanje, Kwanza Norte and Kwanza Sul, and strengthen various structures operating in the sector (The Luanda Provincial Sanitation Company, the National Water Board). The project is co-financed with the ADF. The ADB loan will be used to finance 54 percent of the total cost of the project.	14020.03|14020.05|14010.01 	719
2411276	African Development Bank (AFDB)		Sahanivotry Second Hydroelectric Power Station Project		Objective: Increase electrical output capacity to address Madagascar’s energy needs at competitive prices.  Expected Outcomes: Increase coverage (number of customers) by 50 percent between 2006 and 2010.  Increased provision of power supply at competitive prices. Installation of an operational power-station and  reduction of electrical power generation costs. Emergence of a small tourist development pole.	23030.02 	467
2410944	African Development Bank (AFDB)		Emergency Assistance Program (Health Sector)		Improve access to essential health care and significantly improve the quality of life; increase the availability of first-level referral health services in the southern part of the country and strengthen the ability to monitor and control outbreaks of communicable diseases countrywide. The ADB grant represents 90.2 percent of the total cost of the operation.	12250.01|12220.02 	407
2411289	African Development Bank (AFDB)		The East African Submarine Cable System (EASSy)		Objective: Promote a competitive investment climate by providing Eastern and Southern African regions with high-speed capacity to support reliable telecommunications services at an affordable price. Expected Outcomes: Significant reduction in cost of telecoms services for EASSy countries by avoiding the use of expensive third-party foreign satellite providers. Enhanced regional integration and crosscountry trade. Increased interconnectivity and competition among countries of the subregion. Increased employment and entrepreneurship.	22020.01 	587
40830183	African Development Bank (AFDB)		Mariculture Master Plan (MMP)	<br>	"<span style=""font-weight: bold;"">Objective: </span>To develop, strengthen, and integrate the key technical, regulatory, legislative, and institutional mechanisms in order to achieve sustainable mariculture development and create an enabling environment for investment. <br><span style=""font-weight: bold;"">Expected Outcomes: </span><br>Investment in Seychelles’ mariculture sector is initiated and proceeding according to the vision, goals and objectives of the sector plan.<br>"	31320.04|31310.03|25010.05 	522
2410487	African Development Bank (AFDB)		Accra-Tema Water Supply		This is a supplementary loan to an earlier ADB one granted in 1974 for the Accra-Tema Water Supply Project, the total cost of which was UA 4 million.	14020.01 	175
2390321	African Development Bank (AFDB)		Cotton Yarn Manufacturing		The project is aimed at increasing foreign exchange earnings and employment opportunities through the establishment of cotton yarn and cotton/polyster blend yarn manufacturing facility. The major components of the project are building and civil works; plant and machinery; engineering services; staff training;commissioning and start-up; and working capital.Co-financing has been provided by CDC (UA 1.50 mil-lion), and IFC (UA 1.50 million). The ADB loan will be used to finance 63.2 per cent of the foreign exchange cost of the project.	32120.03|32181.01|32120.08 	566
40832045	African Development Bank (AFDB)		Rural Water Supply and Sanitation Program (Phase II)	<br>	"<span style=""font-weight: bold;"">Objective: </span><br>To improve district-level capacity to implement demand-based RWSS programs, improve access of rural communities to water and sanitation services operated and maintained by capable persons, and improve health and hygiene practices. <br><span style=""font-weight: bold;"">Expected Outcomes: </span><br>(i) Increase of access for rural communities to water supply from 65 percent in 2010 to 74 percent by 2015; (ii) increase of access to improved sanitation from 50 percent in 2010 to 80 percent by 2015; and (iii) increase of rural water communities with at least 50 percent female active membership from 30 percent in 2010 to 50 percent by 2015.<br>"	14010.03|43040.05|14081.01|14020.01 	766
2410554	African Development Bank (AFDB)		Acacia Fund Limited Project		The project involves the establishment of an equity fund to make equity and quasi-equity investments in medium-sized Kenyan companies that have strong potential to generate above-average growth and profitability. The basic economic benefits of the project include: increasing the sources of equity capital available to local entrepreneurs; encouraging the growth and diversification of small- and medium-scale enterprises (thereby creating employment); and improving productive capacity and tax revenues. The Acacia Fund will aim at realizing all of its investments and distributing the proceeds to its shareholders within 10 years. It is anticipated that most of the returns will be made up of capital gains, expected to be realized after 5 years. The project will be co-financed mainly by three international development finance institutions: CDC (UA 3.48 million), Proparco (UA 0.70 million) and PTA Bank (UA1.04 million); and 7 local commercial and development banking institutions. ADB financing represents 10 per cent of total financing.	25010.08|25010.05 	1073
2410594	African Development Bank (AFDB)		Extension and Modernization of the Telecommunications network		The project, which involves the extension and modernization of Guinea's telecommunications System; is the first section of the national portion of the pan-African Telecommunications network. It also forms part of a five-year national programme aimed at extending and strengthening the telecommunications System so as to adapt it to the country's economic and social development needs.	22020.01 	448
1964427	African Development Bank (AFDB)		Line of Credit to theInternational Bank FSB PLC		Finance medium-term loans to FSB enterprise clients in the areas of electric power, manufacturing industry, fuel services, tourism, and maritime transportation	32105.01|21040.01|23005.01|33210.01 	209
2410613	African Development Bank (AFDB)		Line of Credit to First Rand Bank Limited and RMB (Mauritius) Limited		Provide medium-term funding for onlending to its clients. (ii) Assist in increasing the productive capacities and the export potential of the sub-borrowers in various sectors including natural resources, textile manufacturing, agriculture, tourism, energy, and telecommunication sectors. The LOC will be utilized overa period of 18 months.	32120.08|23005.01|53050.01|31105.01|33210.01|22020.01|24030.03 	411
2407934	African Development Bank (AFDB)		Agro-Industrial Project		The project involves the establishment of an agro-industrial scheme comprising a dairy unit of 300 milkcows and an animal feedmill plant. Included in theproject are the provision of dairy unit and milk hand-ling facilities, storage and refrigerated transport facil-ities, setting up of a 200 tenant scheme from tenantsat the existing Gezira scheme, establishing a 12,500tons per year feedmill to supply the nutritional require-ments of the Dairy Unit with possible surplus produc-tion for the local markets.	32120.06 	533
2410606	African Development Bank (AFDB)		Third Line of Credit to the Development Bank of Southern Africa Limited (DBSA)		(i) Provide financial resources to DBSA to support and strengthen the institution's lending capacity to enable it provide loans and other developmental services for infrastructure development in the member countries. (ii) Assist in the provision and improvement of infrastructure services in South Africa as well as other SADC countries through the DBSA. (iii) Contribute to the goal of improving the economic integration of SADC countries. The LOC will be implemented over a period of 3 years.	43010.01|24030.03|24030.02 	575
40831620	African Development Bank (AFDB)		Humanitarian Emergency Aid to Victims of Drought	<br>	"<span style=""font-weight: bold;"">Objective</span>: <br>Contribute to the provision of seed to alleviate the suffering of drought victims. <br><span style=""font-weight: bold;"">Expected Outputs: </span><br>Approximately 39,500 families to receive 396 tonnes of seed for planting over 59,400 ha.<br>"	72040.01 	357
2411274	African Development Bank (AFDB)		Investment Climate Facility		Objective: Contribute to a fund aimed at enhancing the investment climate in Africa, thereby increasing GDP  growth and reducing poverty in RMCs.  Expected Outcomes: Increased financial resources available for investment climate improvement efforts,  resulting in higher private investor participation in various productive sectors of African economies.	25010.05 	383
1964035	African Development Bank (AFDB)		South Eastern Highway Project		Reduce vehicle-operating costs, travel time and road maintenance costs between the southern and north-eastern parts of the country and provide efficient transport services to support the development of tourism and other productive sectors of the economy. The project will be implemented over a period of 42 months and will be financed by the ADB and the Government of Mauritius. The ADB loan represents 70.3 percent of the total cost of the project.	21020.02 	481
2389564	African Development Bank (AFDB)		Emergency Assistance for the Control of Locust Invasion in 2004		The Bank’s assistance will contribute to the locust monitoring and control program by supporting the procurement of pesticides, equipment, and logistics to help contain the multiplication and migration of locusts in Egypt and in neighboring countries. It is expected to reduce damage to crops and vegetation by at least 50 percent.	31150.04|31191.02 	399
2411143	African Development Bank (AFDB)		Msele Nedventures Limited		The project entails the expansion of an existing Fund. The objective of the Fund is to make equity and quasi-equity investments in private unlisted small and medium-scale enterprises (SMEs) in South Africa. The Fund will focus on projects that have potential for strong growth and profitability, and which can make positive contribution to the economy of the Republic of South Africa. The Fund's investment target will be companies that are engaged in production of goods and  services, particularly those with existing local markets, existing exit routes, and operating primarily in disadvantaged  communities in South Africa.    The Fund is managed by Venture Capital Managers Limited (VCM) under a management contract. The initial Fund capitalization is Rand 22.7 million. The proposed expansion aims at increasing the Fund's capitalization  by Rand 48 million to Rand 70.75 million. The Fund has been operational since 1995 and will have a lifetime of 13 years during which it may be listed on the Johannesburg Stock Exchange (JSE) or liquidated if it is not listed. There are no environmental issues involved, as the Fund is an investment company. However, the Fund will follow the South African and the Bank's environmental guidelines in the selection of investee companies. The loan was approved by the Board on 11 December 1997 and the ADB investment represents 17 per cent of the total Fund's capitalization. The Fund is co-financed by NEDCOR which is the core investor, DEG, PROPARCO, Federal Office of Foreign Affairs (Swiss Confederation) FOFEA and other investors.  	24030.01|25010.08 	1607
1964159	African Development Bank (AFDB)		Telecommunications II Project		The aim of the project is to overcome the present congestion on the major trunk route by providing sufficient number of trunk circuits between the major exchanges and by providing local network materials.The project, which is being implemented over a five year period, will involve the provision and installation of subscriber apparatus for about 10000 customers, network material for about 10000 subscribers and one major digital radio link Lobatse-Gaborone-Mahalapye-Francistown with four spur-links of lesser capacity. The major route will provide the equivalent of 1,800 voice channels and the spur route the equivalent of 30 voice channels. The ADB loan will finance 89.0 percent of the foreign exchange cost.	22020.01 	746
3297559	African Development Bank (AFDB)		Second Maghreb Private Equity Fund 2 (MPEF2) – Equity Participation	<br>	"<b><font face=""FrutigerLTStd-BoldCn"" size=""2""><font face=""FrutigerLTStd-BoldCn"" size=""2"">  </font></font></b><p align=""left""><b><font face=""FrutigerLTStd-BoldCn"" size=""2""><font face=""FrutigerLTStd-BoldCn"" size=""2"">Objective: </font></font></b><font face=""FrutigerLTStd-BoldCn"" size=""2""><font face=""FrutigerLTStd-BoldCn"" size=""2""></font></font><font face=""FrutigerLTStd-LightCn"" size=""2""><font face=""FrutigerLTStd-LightCn"" size=""2"">To support a private equity fund primarily targeting SMEs in Northern African countries of Tunisia, Morocco, Algeria, and Libya. The Fund’s objective is to invest in a wide variety of sectors including manufacturing and agribusiness; packaging; telecom and technology; transportation; petrochemicals &amp; plastic industries; pharmaceuticals; construction materials production; financial services; and independent power production units.</font></font></p><font face=""FrutigerLTStd-LightCn"" size=""2""><font face=""FrutigerLTStd-LightCn"" size=""2""></font></font><b><font face=""FrutigerLTStd-BoldCn"" size=""2""><font face=""FrutigerLTStd-BoldCn"" size=""2"">  </font></font></b><p align=""left""><b><font face=""FrutigerLTStd-BoldCn"" size=""2""><font face=""FrutigerLTStd-BoldCn"" size=""2"">Expected Outcomes: </font></font></b></p>  <p align=""left""><b><font face=""FrutigerLTStd-BoldCn"" size=""2""><font face=""FrutigerLTStd-BoldCn"" size=""2""></font></font></b><font face=""FrutigerLTStd-BoldCn"" size=""2""><font face=""FrutigerLTStd-BoldCn"" size=""2""></font></font><font face=""FrutigerLTStd-LightCn"" size=""2""><font face=""FrutigerLTStd-LightCn"" size=""2"">(i) Enhanced capital base for MPEF2, thereby scaling-up its commitment and lending capacity; </font></font></p>  <p align=""left""><font face=""FrutigerLTStd-LightCn"" size=""2""><font face=""FrutigerLTStd-LightCn"" size=""2"">(ii) up to 20 enterprises financed by 2017; </font></font></p>  <p align=""left""><font face=""FrutigerLTStd-LightCn"" size=""2""><font face=""FrutigerLTStd-LightCn"" size=""2"">(iii) 4,500 jobs saved and 6,000 new jobs created by 2017;</font></font></p>  <p align=""left""><font face=""FrutigerLTStd-LightCn"" size=""2""><font face=""FrutigerLTStd-LightCn"" size=""2"">(iv) € 600 million mobilized through the multiplier effect of MPEF2; </font></font></p>  <p align=""left""><font face=""FrutigerLTStd-LightCn"" size=""2""><font face=""FrutigerLTStd-LightCn"" size=""2"">(v) € 65 million in tax revenues to government; and </font></font></p>  <p align=""left""><font face=""FrutigerLTStd-LightCn"" size=""2""><font face=""FrutigerLTStd-LightCn"" size=""2"">(vi) GDP of the subregion increases by 10 percent by 2017.</font></font></p><font face=""FrutigerLTStd-LightCn"" size=""2""><font face=""FrutigerLTStd-LightCn"" size=""2""></font></font><br>"	24030.02|32130.01|24030.01|23005.01|22005.01|21010.01|32120.06|32120.13|25010.08|32120.09|21005.01 	2902
2410535	African Development Bank (AFDB)		Douala Airport		A supplementary loan of U.A. 650000 repayable over 15 years following a one-year grace period was granted to the Government of the United Republic of Cameroon to assist the financing of the immediate external works in the new Douala Airport.	21050.02 	258
